City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,managua,12.1328,-86.2504,37.69,32,20,3.09,NI,1683842520
215,cockburn town,21.4612,-71.1419,28.02000000000004,75,35,5.91,TC,1683842521
216,myeik,12.4333,98.6,28.52000000000004,81,75,2.34,MM,1683842521
217,lerwick,60.1545,-1.1494,10.0,90,1,3.44,GB,1683842521
218,nova sintra,14.8667,-24.7167,21.27000000000004,80,1,8.69,CV,1683842521
219,howard springs,-12.497,131.047,18.950000000000045,37,37,3.4,AU,1683842522
220,essaouira,31.5125,-9.77,20.720000000000027,83,2,3.09,MA,1683842523
221,sangod,24.9167,76.2833,32.06,11,0,1.44,IN,1683842524
222,kourou,5.1552,-52.6478,26.03000000000003,93,87,3.88,GF,1683842404
223,baise city,23.8997,106.6133,21.610000000000014,89,99,0.72,CN,1683842526
224,el calafate,-50.3408,-72.2768,9.200000000000045,79,100,2.76,AR,1683842526
225,kodinar,20.7903,70.7031,30.900000000000034,45,7,3.52,IN,1683842527
226,samut sakhon,13.5833,100.3,32.129999999999995,77,39,3.32,TH,1683842527
227,lethbridge,49.7,-112.8186,20.27000000000004,51,40,4.63,CA,1683842461
228,castillos,-34.1667,-53.8333,16.49000000000001,53,99,3.14,UY,1683842528
229,sault ste. marie,46.5168,-84.3333,26.160000000000025,44,0,4.63,CA,1683842289
230,rio gallegos,-51.6226,-69.2181,11.03000000000003,66,0,6.17,AR,1683842529
231,mhamid,29.82,-5.72,32.53000000000003,11,26,4.9,MA,1683842530
232,troitsko-pechorsk,62.7084,56.1964,3.7100000000000364,71,89,2.64,RU,1683842530
233,okha,53.5739,142.9478,3.230000000000018,82,10,2.5,RU,1683842530
234,srivardhan,18.0333,73.0167,28.79000000000002,81,84,1.05,IN,1683842531
235,plymouth,41.8334,-70.8328,25.090000000000032,33,75,4.12,US,1683842516
236,larmor-plage,47.7065,-3.3834,14.379999999999995,85,0,2.06,FR,1683842531
237,nova vicosa,-17.8919,-39.3719,25.939999999999998,77,93,3.86,BR,1683842532
238,ixtapa,20.7,-105.2,35.400000000000034,26,15,3.53,MX,1683842532
239,lydenburg,-25.0978,30.4597,12.340000000000032,61,0,0.69,ZA,1683842399
240,arraial do cabo,-22.9661,-42.0278,22.920000000000016,83,40,3.09,BR,1683842533
241,mejit,10.2753,170.8646,28.52000000000004,82,99,7.51,MH,1683842533
242,ponte nelle alpi,46.1808,12.2833,11.939999999999998,96,100,0.45,IT,1683842510
243,sierra grande,-41.606,-65.3557,18.160000000000025,44,100,1.79,AR,1683842377
244,sanctuary point,-35.1114,150.629,13.770000000000039,70,1,2.91,AU,1683842534
245,kirando,-7.4167,30.6,22.54000000000002,79,24,2.41,TZ,1683842535
246,dar chioukh,34.8964,3.4854,19.980000000000018,29,57,1.13,DZ,1683842536
247,newman,37.3138,-121.0208,27.120000000000005,65,65,3.13,US,1683842536
248,aykhal,66.0,111.5,0.2300000000000182,92,100,6.83,RU,1683842537
249,nizhniy lomov,53.5304,43.6766,9.54000000000002,85,100,4.39,RU,1683842538
250,kouroussa,10.65,-9.8833,33.960000000000036,15,99,1.1,GN,1683842538
251,souillac,-20.5167,57.5167,26.210000000000036,73,40,3.6,MU,1683842539
252,klyuchi,52.2667,79.1667,10.080000000000041,71,94,3.42,RU,1683842539
253,sabang,5.8933,95.3214,29.5,73,82,1.43,ID,1683842539
254,pangai,-19.8,-174.35,29.060000000000002,83,40,3.09,TO,1683842541
255,cabedelo,-6.9811,-34.8339,28.370000000000005,77,71,4.55,BR,1683842541
256,whitehorse,60.7161,-135.0538,16.57000000000005,31,75,7.2,CA,1683842510
257,porto novo,6.4965,2.6036,29.52000000000004,80,52,4.06,BJ,1683842438
258,richards bay,-28.783,32.0377,19.930000000000007,89,0,2.02,ZA,1683842542
259,turpan,42.9333,89.1667,24.840000000000032,12,58,1.38,CN,1683842543
260,kolokani,13.5728,-8.0339,35.960000000000036,13,98,2.44,ML,1683842543
261,araripina,-7.5761,-40.4983,27.010000000000048,48,78,1.94,BR,1683842543
262,zhangjiakou,40.81,114.8794,13.720000000000027,56,7,0.31,CN,1683842544
263,saldanha,-33.0117,17.9442,12.03000000000003,62,90,10.6,ZA,1683842544
264,santa terezinha,-29.9002,-50.0904,16.79000000000002,80,74,5.1,BR,1683842544
265,rehoboth,-23.3167,17.0833,20.710000000000036,29,100,2.24,NA,1683842545
266,baicheng,45.6167,122.8167,18.54000000000002,34,100,5.53,CN,1683842546
267,sarankhola,22.3082,89.7897,27.49000000000001,81,100,1.76,BD,1683842546
268,skeldon,5.8833,-57.1333,25.120000000000005,96,97,2.3,GY,1683842546
269,isafjordur,66.0755,-23.124,8.420000000000016,92,100,4.39,IS,1683842547
270,okeechobee,27.2439,-80.8298,31.010000000000048,58,0,4.12,US,1683842425
271,xilin hot,43.9667,116.0333,8.939999999999998,70,83,3.44,CN,1683842548
272,tefe,-3.3542,-64.7114,30.060000000000002,74,40,2.57,BR,1683842548
273,sisimiut,66.9395,-53.6735,-1.2099999999999795,88,100,6.97,GL,1683842548
274,paradsasvar,47.9126,19.9771,11.200000000000045,79,100,1.27,HU,1683842549
275,les avirons,-21.2418,55.3394,24.03000000000003,73,0,2.57,RE,1683842549
276,manokwari,-0.8667,134.0833,26.77000000000004,83,100,2.54,ID,1683842549
277,airway heights,47.6446,-117.5933,23.810000000000002,32,40,3.6,US,1683842550
278,mugia,43.1041,-9.2179,15.390000000000043,78,7,7.14,ES,1683842550
279,labrador city,52.9463,-66.9114,13.950000000000045,24,20,3.09,CA,1683842550
280,la passe,45.5549,-0.8967,14.879999999999995,82,10,3.87,FR,1683842551
281,xichang,27.8964,102.2634,12.54000000000002,78,97,3.34,CN,1683842551
282,beyneu,45.3167,55.2,21.480000000000018,49,30,5.81,KZ,1683842552
283,masallatah,32.6167,14.0,19.08000000000004,67,13,3.68,LY,1683842552
284,brotton,54.5689,-0.9365,11.610000000000014,96,13,0.89,GB,1683842553
285,arauca,7.0847,-70.7591,31.980000000000018,66,75,1.03,CO,1683842553
286,guiuan,11.0333,125.7247,29.410000000000025,76,100,4.67,PH,1683842553
287,khark,29.2614,50.3306,27.870000000000005,60,42,2.26,IR,1683842554
288,luderitz,-26.6481,15.1594,16.400000000000034,73,100,10.51,NA,1683842556
289,reggane,26.7158,0.1714,34.07000000000005,12,32,4.03,DZ,1683842556
290,grand-bassam,5.2118,-3.7388,30.980000000000018,83,69,3.77,CI,1683842556
291,fenghua,29.6563,121.4064,16.939999999999998,72,100,1.0,CN,1683842562
292,fale old settlement,-9.3852,-171.2468,29.54000000000002,78,100,5.91,TK,1683842562
293,kashiwa,35.8544,139.9689,18.120000000000005,57,79,2.94,JP,1683842562
294,oranjemund,-28.55,16.4333,15.080000000000041,85,100,9.0,NA,1683842563
295,santa ana,33.7456,-117.8678,26.360000000000014,57,75,3.6,US,1683842037
296,dongola,19.1667,30.4833,34.52000000000004,11,41,2.91,SD,1683842563
297,kruisfontein,-34.0033,24.7314,15.439999999999998,79,100,7.87,ZA,1683842563
298,al kharijah,25.4514,30.5464,28.370000000000005,23,0,5.39,EG,1683842563
299,karkkila,60.5342,24.2098,9.990000000000009,58,82,2.02,FI,1683842563
300,usinsk,65.9939,57.5281,0.7000000000000455,90,100,5.19,RU,1683842564
301,caluula,11.9661,50.7569,29.890000000000043,78,100,4.43,SO,1683842564
302,kiunga,-6.1219,141.2906,25.400000000000034,99,99,0.43,PG,1683842564
303,malanje,-9.5402,16.341,17.660000000000025,59,4,0.11,AO,1683842564
304,necochea,-38.5473,-58.7368,11.939999999999998,61,39,3.49,AR,1683842564
305,zhaqsy,51.9083,67.3133,10.53000000000003,64,20,4.65,KZ,1683842564
306,tamanrasset,22.785,5.5228,26.950000000000045,15,0,3.09,DZ,1683842565
307,karukh,34.4811,62.5863,17.910000000000025,52,6,4.92,AF,1683842565
308,harduaganj,27.95,78.1667,30.610000000000014,11,3,0.8,IN,1683842565
309,gubkinskiy,64.434,76.5026,-10.70999999999998,93,37,3.7,RU,1683842565
310,gunjur,13.2019,-16.7339,25.04000000000002,88,0,5.66,GM,1683842565
311,kuzovatovo,53.5468,47.6866,10.980000000000018,65,100,2.83,RU,1683842566
312,ghanzi,-21.5667,21.7833,18.170000000000016,36,4,2.62,BW,1683842566
313,panama city beach,30.1766,-85.8055,29.900000000000034,70,89,1.79,US,1683842566
314,port saint john's,-31.6229,29.5448,21.660000000000025,76,100,4.81,ZA,1683842566
315,cabo san lucas,22.8909,-109.9124,31.340000000000032,32,15,5.7,MX,1683842402
316,yonan-up,37.9089,126.1611,14.57000000000005,66,100,1.51,KP,1683842566
317,christchurch,-43.5333,172.6333,13.450000000000045,82,75,2.06,NZ,1683842531
318,saint-francois,46.4154,3.9054,11.689999999999998,93,0,2.06,FR,1683842567
319,tazovsky,67.4667,78.7,-19.569999999999965,100,86,3.54,RU,1683842567
320,new norfolk,-42.7826,147.0587,10.950000000000045,72,100,0.89,AU,1683842567
321,ash shihaniyah,25.3686,51.2264,31.79000000000002,24,2,3.27,QA,1683842567
